time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1965-11-01,43.708333225,-79.375002465,1.81,3.80,5.79,1.81,3.80,5.79,1.81,3.80,5.79
1965-12-01,43.708333225,-79.375002465,-6.35,-3.34,0.55,-6.35,-3.34,0.55,-6.35,-3.34,0.55
1966-01-01,43.708333225,-79.375002465,-9.05,-6.32,-2.08,-9.05,-6.32,-2.08,-9.05,-6.32,-2.08
1966-02-01,43.708333225,-79.375002465,-9.58,-5.77,-0.93,-9.58,-5.77,-0.93,-9.58,-5.77,-0.93
1966-03-01,43.708333225,-79.375002465,-3.38,-0.66,2.31,-3.38,-0.66,2.31,-3.38,-0.66,2.31
1966-04-01,43.708333225,-79.375002465,3.35,5.67,8.59,3.35,5.67,8.59,3.35,5.67,8.59
1966-05-01,43.708333225,-79.375002465,10.84,12.83,14.92,10.84,12.83,14.92,10.84,12.83,14.92
1966-06-01,43.708333225,-79.375002465,16.14,18.14,19.46,16.14,18.14,19.46,16.14,18.14,19.46
1966-07-01,43.708333225,-79.375002465,19.48,20.62,21.80,19.48,20.62,21.80,19.48,20.62,21.80
1966-08-01,43.708333225,-79.375002465,18.56,20.35,21.96,18.56,20.35,21.96,18.56,20.35,21.96
1966-09-01,43.708333225,-79.375002465,14.77,16.95,18.61,14.77,16.95,18.61,14.77,16.95,18.61
1966-10-01,43.708333225,-79.375002465,8.31,9.53,11.34,8.31,9.53,11.34,8.31,9.53,11.34
1966-11-01,43.708333225,-79.375002465,2.47,4.48,6.80,2.47,4.48,6.80,2.47,4.48,6.80
1966-12-01,43.708333225,-79.375002465,-4.70,-1.18,1.03,-4.70,-1.18,1.03,-4.70,-1.18,1.03
1967-01-01,43.708333225,-79.375002465,-8.71,-5.53,-2.47,-8.71,-5.53,-2.47,-8.71,-5.53,-2.47
